,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Rolls-Royce
3.8",Data Scientist,Bangalore,#N/A,"₹7,84,210 /yr (est.)",10000+ Employees,#N/A,Aerospace & Defence,Aerospace & Defence,1906,$10+ billion (USD)
1,Vikatan Group,Data Scientist,India,#N/A,"₹3,90,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,GWC Technologies,Data Scientist,Bangalore,#N/A,"₹11,09,024 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,Stackapps IT Services Pvt Ltd,Data Scientist,Hyderābād,#N/A,"₹6,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,Deets Digital,Data Scientist,Bangalore,#N/A,"₹15,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,"Orcapod
3.5",Data Scientist,Bangalore,#N/A,"₹8,50,000 /yr (est.)",201 to 500 Employees,#N/A,Management & Consulting,Business Consulting,2010,Unknown / Non-Applicable
6,"Bosch Group
4.2",Data Scientist,Bangalore,#N/A,"₹6,78,615 /yr (est.)",10000+ Employees,#N/A,Manufacturing,Consumer Product Manufacturing,1886,$10+ billion (USD)
7,"Conduent
3.1",Data Scientist II,Remote,#N/A,#N/A,10000+ Employees,#N/A,Information Technology,Information Technology Support Services,2017,Unknown / Non-Applicable
8,"Google
4.5","Data Scientist, Business and Marketing",Bangalore,#N/A,#N/A,10000+ Employees,#N/A,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
9,CESIT,Data Scientist (Remote),Hyderābād,#N/A,"₹22,50,000 /yr (est.)",Unknown,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
10,"Xtage Labs
3.7",Data Scientists,India,#N/A,#N/A,1 to 50 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
11,"CoRover
4.9",Data Scientist,Remote,#N/A,#N/A,1 to 50 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
12,"BatchService
4.8",Data Scientist,Remote,#N/A,#N/A,51 to 200 Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,2018,$25 to $50 million (USD)
13,Mapcom info Solution Limited,Data Scientist,Bangalore,#N/A,"₹4,48,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14,Headstart Manpower Consultants,Data Scientist(FromNIT/IIT),Bangalore,#N/A,"₹24,96,000 /mo (est.)",51 to 200 Employees,#N/A,Human Resources & Staffing,HR Consulting,#N/A,Unknown / Non-Applicable
15,"PayU
4.0",Data Scientist - Credit Risk,India,#N/A,#N/A,1001 to 5000 Employees,#N/A,Information Technology,Internet & Web Services,2002,$10+ billion (USD)
16,The Pioneertech,Data Scientist,Ahmedabad,#N/A,"₹7,97,939 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,Yorshr,Jr. Data Scientist,India,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18,"IBM
4.1",Data Scientist,Bangalore,#N/A,"₹6,19,792 /yr (est.)",10000+ Employees,#N/A,Information Technology,Information Technology Support Services,1911,$10+ billion (USD)
19,Turbo Hire,Data Scientist,Remote,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20,"PADMASAI FINANCE PRIVATE LIMITED
3.1",Data Scientist,Hyderābād,#N/A,"₹13,00,000 /yr (est.)",51 to 200 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
21,"BIG IT JOBS
5.0",Data Scientist,India,#N/A,"₹1,80,000 /yr (est.)",51 to 200 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
22,"Mercedes-Benz Research and Development India Private Limited
4.1",Data Scientist,Bangalore,#N/A,"₹4,11,133 /yr (est.)",10000+ Employees,#N/A,Manufacturing,Transportation Equipment Manufacturing,1886,Unknown / Non-Applicable
23,Inumellas Consultancy Services,Data Scientist,Hyderābād,#N/A,"₹12,00,000 /yr (est.)",Unknown,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
24,"Hypersonix Inc.
5.0",Data Scientist,Bangalore,#N/A,"₹3,91,152 /yr (est.)",1 to 50 Employees,#N/A,Aerospace & Defence,Aerospace & Defence,2019,Unknown / Non-Applicable
25,"Pluto7
3.6",Jr Data Scientist,Bangalore,#N/A,"₹8,12,242 /yr (est.)",51 to 200 Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,2015,Unknown / Non-Applicable
26,Strydo technologies Pvt. Ltd.,Data Scientist,Tirupati,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27,"Infosys Limited
3.9",Data Scientist,Bangalore,#N/A,"₹5,61,966 /yr (est.)",10000+ Employees,#N/A,Information Technology,Information Technology Support Services,1981,$10+ billion (USD)
28,"Indium Software
4.2",Databricks Data Scientist,Remote,#N/A,#N/A,1001 to 5000 Employees,#N/A,Information Technology,Information Technology Support Services,1999,$25 to $50 million (USD)
29,"Nordic Intent
3.5",Data Scientist,Bardez,#N/A,"₹5,26,677 /yr (est.)",51 to 200 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
30,"ICICI Prudential Life
4.4",Data scientist,Mumbai,#N/A,"₹5,26,424 /yr (est.)",10000+ Employees,#N/A,Insurance,Insurance Carriers,2001,$10+ billion (USD)
31,"GLOBAL TECHNOLOGIES
3.6","NLP, Machine Learning",Bangalore,#N/A,"₹10,79,323 /yr (est.)",1 to 50 Employees,#N/A,Telecommunications,Telecommunications Services,#N/A,$1 to $5 million (USD)
32,Predictive Research,"Machine learning, Machine Engineer",Bangalore,#N/A,"₹4,20,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33,"Shell
4.1",Associate Data Scientist,Chennai,#N/A,"₹6,95,941 /yr (est.)",10000+ Employees,#N/A,"Energy, Mining, Utilities",Energy & Utilities,1907,$10+ billion (USD)
34,HireQuotient,Machine Learning Engineer,Bangalore,#N/A,"₹17,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35,"Samsung Electro-Mechanics
3.5",Machine Learning Engineer,Bangalore,#N/A,"₹12,00,000 /mo (est.)",1001 to 5000 Employees,#N/A,Information Technology,Computer Hardware Development,1938,$10+ billion (USD)
36,"SmartInternz
4.0",Machine Learning Engineer Intern,Remote,#N/A,"₹1,38,000 /mo (est.)",51 to 200 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
37,NeuranceAI Technologies Private Limited,Machine Learning Engineer,Bangalore,#N/A,"₹6,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38,"Shell
4.1",Data Scientist,Bangalore,#N/A,"₹7,45,802 /yr (est.)",10000+ Employees,#N/A,"Energy, Mining, Utilities",Energy & Utilities,1907,$10+ billion (USD)
39,"Oracle
3.9",Machine Learning Engineer,Bangalore,#N/A,"₹7,67,118 /yr (est.)",10000+ Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,1977,$10+ billion (USD)
40,"Alian Software, Anand
3.9",Machine Learning Engineer,Ānand,#N/A,"₹5,00,000 /yr (est.)",51 to 200 Employees,#N/A,Information Technology,Computer Hardware Development,#N/A,Unknown / Non-Applicable
41,Reqroots,Data Scientist (Python),Tiruchchirāppalli,#N/A,"₹5,70,000 /mo (est.)",1 to 50 Employees,#N/A,Human Resources & Staffing,HR Consulting,2019,Unknown / Non-Applicable
42,V Infotech,Data Scientist,Indore,#N/A,"₹8,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
43,"McKinsey & Company
4.4",Data Scientist - QuantumBlack,Bangalore,#N/A,"₹7,03,300 /yr (est.)",10000+ Employees,#N/A,Management & Consulting,Business Consulting,1926,Unknown / Non-Applicable
44,"Lincode Labs
3.1",Data Scientist,Bangalore,#N/A,"₹9,60,000 /mo (est.)",1 to 50 Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,2017,Less than $1 million (USD)
45,"Labcorp
3.7",Associate Data Scientist I,Bangalore,#N/A,"₹4,05,865 /yr (est.)",10000+ Employees,#N/A,Healthcare,Healthcare Services & Hospitals,1978,$10+ billion (USD)
46,Predictive Research,Machine Learning Engineer and Big data Engineer,Bangalore,#N/A,"₹3,60,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
47,"Accenture
4.1",Python Programming Language Data Science Practitioner,Hyderābād,#N/A,#N/A,10000+ Employees,#N/A,Management & Consulting,Business Consulting,1989,$10+ billion (USD)
48,"Apple
4.2",Machine Learning Engineer,Hyderābād,#N/A,#N/A,10000+ Employees,#N/A,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
49,"Aera Technology
4.0",Data Scientist,Pune,#N/A,"₹6,84,384 /yr (est.)",201 to 500 Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,2017,Unknown / Non-Applicable
50,UJIT MARKETING,Data Analytics,Mumbai,#N/A,"₹9,00,000 /yr (est.)",Unknown,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
51,"Ericsson
4.2",Data Scientist,Bangalore,#N/A,"₹6,17,862 /yr (est.)",10000+ Employees,#N/A,Telecommunications,Telecommunications Services,1876,$10+ billion (USD)
52,"Microsoft
4.4",Data and Applied Scientist II,Bangalore,#N/A,"₹6,94,326 /yr (est.)",10000+ Employees,#N/A,Information Technology,Computer Hardware Development,1975,$10+ billion (USD)
53,"Hitachi India Pvt, Ltd.
3.8",Junior Data Scientist (Computer Vision),Bangalore,#N/A,"₹4,46,269 /yr (est.)",10000+ Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,1910,$10+ billion (USD)
54,"TVS Next
4.5",Data Scientist,Chennai,#N/A,"₹5,13,190 /yr (est.)",201 to 500 Employees,#N/A,Information Technology,Information Technology Support Services,2016,Unknown / Non-Applicable
55,Takeleap tech pvt ltd,Machine Learning Engineer,"J.P. Nagar, 3rd Phase",#N/A,"₹13,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56,"S&P Global
4.1",Data Scientist,Gurgaon,#N/A,"₹9,24,253 /yr (est.)",10000+ Employees,#N/A,Management & Consulting,Research & Development,1888,$5 to $10 billion (USD)
57,"JPMorgan Chase Bank, N.A.
3.8",Data Scientist Associate,Bangalore,#N/A,"₹3,73,892 /yr (est.)",10000+ Employees,#N/A,Finance,Banking & Lending,1799,$10+ billion (USD)
58,"Airtel India
4.3",Data Scientist,India,#N/A,#N/A,10000+ Employees,#N/A,Telecommunications,Telecommunications Services,#N/A,$10+ billion (USD)
59,EBIW Info Analytics Pvt ltd,Junior Data Scientist,Calcutta,#N/A,"₹4,18,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
60,"GLOBAL TECHNOLOGIES
3.6","NLP, Machine Learning",Bangalore,#N/A,"₹10,79,323 /yr (est.)",1 to 50 Employees,#N/A,Telecommunications,Telecommunications Services,#N/A,$1 to $5 million (USD)
61,HireQuotient,Machine Learning Engineer,Bangalore,#N/A,"₹17,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62,"Oracle
3.9",Machine Learning Engineer,Bangalore,#N/A,"₹7,67,118 /yr (est.)",10000+ Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,1977,$10+ billion (USD)
63,"Accenture
4.1",Python Programming Language Data Science Practitioner,Hyderābād,#N/A,#N/A,10000+ Employees,#N/A,Management & Consulting,Business Consulting,1989,$10+ billion (USD)
64,"Hitachi India Pvt, Ltd.
3.8",Junior Data Scientist (Computer Vision),Bangalore,#N/A,"₹4,46,269 /yr (est.)",10000+ Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,1910,$10+ billion (USD)
65,Predictive Research,Machine Learning Engineer and Big data Engineer,Bangalore,#N/A,"₹3,60,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
66,ZigUp,Computer Vision Engineer(7-14LPA),India,#N/A,"₹10,50,000 /yr (est.)",Unknown,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
67,"Shell
4.1",Associate Data Scientist,Chennai,#N/A,"₹6,95,941 /yr (est.)",10000+ Employees,#N/A,"Energy, Mining, Utilities",Energy & Utilities,1907,$10+ billion (USD)
68,"Alian Software, Anand
3.9",Machine Learning Engineer,Ānand,#N/A,"₹5,00,000 /yr (est.)",51 to 200 Employees,#N/A,Information Technology,Computer Hardware Development,#N/A,Unknown / Non-Applicable
69,"Codiant
3.6",Python/ Machine Learning Engineer (0.6-4 Years),Indore,#N/A,"₹3,85,867 /yr (est.)",51 to 200 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
70,"McKinsey & Company
4.4",Data Scientist - QuantumBlack,Bangalore,#N/A,"₹7,03,300 /yr (est.)",10000+ Employees,#N/A,Management & Consulting,Business Consulting,1926,Unknown / Non-Applicable
71,Zerowav,Data Science Engineer,Chennai,#N/A,"₹16,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72,NeuranceAI Technologies,NLP Engineer,Bangalore,#N/A,"₹4,80,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
73,"Aliqan Technologies
5.0",Machine Learning Engineer,Bangalore,#N/A,"₹16,25,000 /yr (est.)",1 to 50 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
74,InTechHub Solutions,AI/ML Engineer,Remote,#N/A,"₹8,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
75,"Labcorp
3.7",Associate Data Scientist I,Bangalore,#N/A,"₹4,05,865 /yr (est.)",10000+ Employees,#N/A,Healthcare,Healthcare Services & Hospitals,1978,$10+ billion (USD)
76,Takeleap tech pvt ltd,Machine Learning Engineer,"J.P. Nagar, 3rd Phase",#N/A,"₹13,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
